"","Country","City","AQI Value","AQI Category","lat","lng"
"1062","Brazil","Boa Viagem",34,"Good",-5.1278,-39.7319
"1063","Republic of North Macedonia","Bogovinje",60,"Moderate",41.9233,20.9133
"1064","India","Bolpur",201,"Very Unhealthy",23.67,87.72
"1065","Chad","Bousso",47,"Good",10.4825,16.7161
"1066","Germany","Brackenheim",28,"Good",49.0833,9.0667
"1067","Italy","Brescia",59,"Moderate",45.5389,10.2203
"1068","United States of America","Brockton",43,"Good",42.0821,-71.0242
"1069","United States of America","Brockton",43,"Good",44.1667,-81.2167
"1070","United States of America","Brooklyn Park",53,"Moderate",45.1112,-93.3505
"1071","United States of America","Brooklyn Park",53,"Moderate",39.217,-76.6174
"1072","United States of America","Brookside",51,"Moderate",39.6665,-75.7152
"1073","Russian Federation","Buy",21,"Good",58.4833,41.5333
"1074","Guinea-Bissau","Cacheu",120,"Unhealthy for Sensitive Groups",12.2667,-16.1667
"1075","Brazil","Cafarnaum",15,"Good",-11.6939,-41.4678
"1076","Canada","Campbell River",33,"Good",50.0244,-125.2475
"1077","Brazil","Campestre",53,"Moderate",-21.7108,-46.2458
"1078","Brazil","Campina Grande",43,"Good",-7.2306,-35.8811
"1079","Brazil","Campos Altos",28,"Good",-19.6958,-46.1708
"1080","Brazil","Cantagalo",59,"Moderate",-21.9808,-42.3678
"1081","Brazil","Cantagalo",59,"Moderate",-25.3739,-52.1258
"1082","Spain","Carmona",23,"Good",14.3167,121.05
"1083","Spain","Carmona",23,"Good",37.4667,-5.6333
"1084","United States of America","Carney",50,"Good",39.405,-76.5235
"1085","United States of America","Carrollton",60,"Moderate",32.989,-96.8999
"1086","United States of America","Carrollton",60,"Moderate",33.5818,-85.0838
"1087",NA,"Carteret",56,"Moderate",40.5849,-74.2284
"1088","Mexico","Catemaco",60,"Moderate",18.4167,-95.1167
"1089","United States of America","Daytona Beach",40,"Good",29.1995,-81.0982
"1090","India","Devarkonda",93,"Moderate",16.6919,78.9207
"1091","Armenia","Dilijan",32,"Good",40.7408,44.8631
"1092","Russian Federation","Divnoye",39,"Good",45.9072,43.3558
"1093","Thailand","Dok Kham Tai",24,"Good",19.162,99.9926
"1094","United States of America","Chaska",52,"Moderate",44.8164,-93.6091
"1095","United Kingdom of Great Britain and Northern Ireland","Chatham",26,"Good",42.4229,-82.1324
"1096","United Kingdom of Great Britain and Northern Ireland","Chatham",26,"Good",51.37,0.52
"1097","United Kingdom of Great Britain and Northern Ireland","Chatham",26,"Good",39.6733,-89.6934
"1098","United Kingdom of Great Britain and Northern Ireland","Chatham",26,"Good",40.7274,-74.4289
"1099","France","Chauny",31,"Good",49.6156,3.2192
"1100","Russian Federation","Chegem Vtoroy",50,"Good",43.5667,43.5833
"1101","China","Chengde",99,"Moderate",40.9604,117.93
"1102","Russian Federation","Chernigovka",35,"Good",44.3406,132.5689
"1103","Nicaragua","Chichigalpa",66,"Moderate",12.5722,-87.0267
"1104","Mexico","Chichihualco",46,"Good",17.655,-99.674
"1105","Mexico","Chicoloapan",204,"Very Unhealthy",19.4167,-98.9
"1106","United States of America","Chubbuck",52,"Moderate",42.9263,-112.4623
"1107","United States of America","Clarksburg",42,"Good",39.2246,-77.2659
"1108","United States of America","Clarksburg",42,"Good",39.2862,-80.3232
"1109","United States of America","Clarksdale",55,"Moderate",34.1933,-90.5693
"1110","Philippines","Claveria",95,"Moderate",8.61,124.8947
"1111","Philippines","Claveria",95,"Moderate",12.9035,123.2457
"1112","Philippines","Claveria",95,"Moderate",9.5742,125.7328
"1113","Philippines","Claveria",95,"Moderate",18.6061,121.0822
"1114","China","Dongning",35,"Good",44.0608,131.1187
"1115","Austria","Dornbirn",29,"Good",47.4167,9.75
"1116","Germany","Dorsten",33,"Good",51.66,6.9642
"1117","Germany","Dortmund",35,"Good",51.5167,7.4667
"1118","Belgium","Dour",39,"Good",50.3979,3.7807
"1119","United Arab Emirates","Dubai",152,"Unhealthy",25.2631,55.2972
"1120","United States of America","East Point",66,"Moderate",33.6696,-84.4701
"1121","Canada","Edmundston",75,"Moderate",47.3765,-68.3253
"1122","Albania","Elbasan",71,"Moderate",41.1111,20.0806
"1123","United States of America","Emporia",59,"Moderate",38.4028,-96.1932
"1124","China","Encheng",64,"Moderate",22.1879,112.3131
"1125","Nigeria","Enugu",170,"Unhealthy",6.4528,7.5111
"1126","Germany","Eppelborn",28,"Good",49.4022,6.9706
"1127","Germany","Eppstein",30,"Good",50.1333,8.4
"1128",NA,"Ercolano",48,"Good",40.8,14.35
"1129","Finland","Espoo",24,"Good",60.2056,24.6556
"1130","United States of America","Fairmount",49,"Good",43.0414,-76.2485
"1131","United States of America","Fairmount",49,"Good",39.7931,-105.1711
"1132","United Kingdom of Great Britain and Northern Ireland","Farnham",29,"Good",51.215,-0.799
"1133","Bangladesh","Feni",157,"Unhealthy",23.0183,91.41
"1134","Chad","Fianga",58,"Moderate",9.9153,15.1375
"1135","Germany","Filderstadt",34,"Good",48.6803,9.2183
"1136","Italy","Fiume Veneto",46,"Good",45.9333,12.7333
"1137","United States of America","Florin",65,"Moderate",38.4832,-121.4043
"1138","Cuba","Fomento",56,"Moderate",22.1053,-79.7203
"1139","United States of America","Forest Hills",72,"Moderate",42.9577,-85.4895
"1140","United States of America","Forrest City",58,"Moderate",35.0135,-90.7931
"1141",NA,"Bolama",121,"Unhealthy for Sensitive Groups",11.5767,-15.4828
"1142","United Kingdom of Great Britain and Northern Ireland","Bolton",25,"Good",53.578,-2.429
"1143","India","Baj Baj",186,"Unhealthy",22.4828,88.1818
"1144","Australia","Ballarat",22,"Good",-37.5608,143.8475
"1145","Thailand","Ban Dung",82,"Moderate",17.6986,103.2611
"1146","Indonesia","Bandung",198,"Unhealthy",-6.912,107.6097
"1147","Dominican Republic","Barahona",108,"Unhealthy for Sensitive Groups",18.2,-71.1
"1148","Guatemala","Barberena",63,"Moderate",14.3167,-90.3667
"1149","Eritrea","Barentu",76,"Moderate",15.1167,37.6
"1150","Switzerland","Basel",60,"Moderate",47.5547,7.5906
"1151","Nigeria","Bauchi",91,"Moderate",10.3158,9.8442
"1152","United States of America","Beach Park",59,"Moderate",42.426,-87.8583
"1153","Germany","Bebra",57,"Moderate",50.9711,9.7903
"1154","Russian Federation","Belaya Kholunitsa",29,"Good",58.85,50.8667
"1155","Brazil","Belo Horizonte",41,"Good",-19.9167,-43.9333
"1156","Canada","Beloeil",39,"Good",45.5667,-73.2
"1157","Canada","Beloeil",39,"Good",50.5333,3.7167
"1158","Russian Federation","Belorechensk",47,"Good",44.7686,39.8733
"1159","United States of America","Bergenfield",53,"Moderate",40.9236,-73.9982
"1160","Netherlands","Beuningen",39,"Good",51.8667,5.7667
"1161","Netherlands","Beverwijk",37,"Good",52.4833,4.65
"1162","Japan","Bibai",44,"Good",43.3329,141.8538
"1163","United States of America","Biddeford",31,"Good",43.4673,-70.4511
"1164","Brazil","Birigui",60,"Moderate",-21.2886,-50.34
"1165","Russian Federation","Birsk",41,"Good",55.4167,55.5333
"1166","Italy","Bitonto",54,"Moderate",41.1167,16.6833
"1167","United States of America","Bloomfield",52,"Moderate",40.8098,-74.1869
"1168","United States of America","Bloomfield",52,"Moderate",41.8426,-72.7406
"1169","Chad","Bol",70,"Moderate",13.46,14.74
"1170","Russian Federation","Bolotnoye",43,"Good",55.6833,84.4167
"1171","Brazil","Bom Sucesso",33,"Good",-21.0328,-44.7578
"1172","Brazil","Bonito",35,"Good",-8.47,-35.7289
"1173","Brazil","Bonito",35,"Good",-21.1333,-56.4833
"1174","Brazil","Bonito",35,"Good",-11.9658,-41.2669
"1175","Brazil","Bonito",35,"Good",-1.3628,-47.3069
"1176","Germany","Bornheim",56,"Moderate",50.7592,7.005
"1177","Czechia","Boskovice",72,"Moderate",49.4875,16.66
"1178","Belgium","Boussu",55,"Moderate",50.4331,3.7961
"1179","Italy","Bovolone",84,"Moderate",45.25,11.1333
"1180","China","Bozhou",162,"Unhealthy",33.8626,115.7742
"1181","France","Bressuire",39,"Good",46.84,-0.4886
"1182","Brazil","Breves",19,"Good",-1.6819,-50.48
"1183","Barbados","Bridgetown",73,"Moderate",13.0975,-59.6167
"1184","Barbados","Bridgetown",73,"Moderate",39.1552,-84.6359
"1185","United States of America","Bridgewater",45,"Good",40.5934,-74.6076
"1186","United States of America","Bridgewater",45,"Good",41.9728,-70.9749
"1187","United States of America","Bridgewater",45,"Good",44.37,-64.52
"1188","United Kingdom of Great Britain and Northern Ireland","Brighouse",41,"Good",53.707,-1.794
"1189","France","Brignais",68,"Moderate",45.6739,4.7542
"1190","Italy","Bronte",56,"Moderate",37.7833,14.8333
"1191",NA,"Broome",30,"Good",-17.9619,122.2361
"1192","Italy","Brunico",51,"Moderate",46.7963,11.9355
"1193","India","Bulandshahr",170,"Unhealthy",28.4069,77.8497
"1194","Germany","Burbach",54,"Moderate",50.7444,8.0861
"1195","Brazil","Buriti Bravo",20,"Good",-5.8369,-43.8339
"1196","Brazil","Buritis",19,"Good",-15.6178,-46.4228
"1197","United States of America","Burlingame",50,"Good",37.5859,-122.3667
"1198","Democratic Republic of the Congo","Butembo",45,"Good",0.15,29.2833
"1199","Uganda","Buwenge",118,"Unhealthy for Sensitive Groups",0.6503,33.1703
"1200","Mexico","Calpulalpan",279,"Very Unhealthy",19.5869,-98.5683
"1201","Brazil","Cambuquira",42,"Good",-21.8583,-45.2911
"1202","United States of America","Campbell",48,"Good",37.2802,-121.9539
"1203","United States of America","Cape Canaveral",87,"Moderate",28.3933,-80.6049
"1204","Venezuela (Bolivarian Republic of)","Caraballeda",74,"Moderate",10.6167,-66.85
"1205","Brazil","Carangola",24,"Good",-20.7328,-42.0289
"1206","Haiti","Carrefour",112,"Unhealthy for Sensitive Groups",18.5344,-72.4094
"1207","Brazil","Castanhal",30,"Good",-1.2969,-47.9219
"1208","Italy","Castrolibero",49,"Good",39.3167,16.2
"1209","Italy","Cesano Maderno",92,"Moderate",45.6307,9.1456
"1210","France","Challans",43,"Good",46.8467,-1.8781
"1211","Thailand","Chiang Rai",67,"Moderate",19.9094,99.8275
"1212","Mexico","Chihuahua",64,"Moderate",28.6353,-106.0889
"1213","Guatemala","Chiquimula",56,"Moderate",14.7833,-89.5333
"1214","Republic of Moldova","Chisinau",55,"Moderate",47.0228,28.8353
"1215","United Kingdom of Great Britain and Northern Ireland","Christchurch",37,"Good",-43.531,172.6365
"1216","United Kingdom of Great Britain and Northern Ireland","Christchurch",37,"Good",50.73,-1.78
"1217","Russian Federation","Chudovo",29,"Good",59.1167,31.6667
"1218","Colombia","Cimitarra",95,"Moderate",6.3167,-73.95
"1219","United States of America","Cinnaminson",48,"Good",40.0008,-74.993
"1220","United States of America","Clark",50,"Good",40.6203,-74.3134
"1221","Belgium","Aalst",51,"Moderate",50.9383,4.0392
"1222","Iran (Islamic Republic of)","Abadan",164,"Unhealthy",38.0517,58.21
"1223","Russian Federation","Abaza",30,"Good",52.6481,90.0739
"1224","Nigeria","Abuja",73,"Moderate",9.0667,7.4833
"1225","Germany","Achim",41,"Good",53.0653,9.0342
"1226","India","Adalaj",162,"Unhealthy",23.17,72.58
"1227","Algeria","Adrar",106,"Unhealthy for Sensitive Groups",27.8742,-0.2939
"1228","Russian Federation","Agidel",41,"Good",55.9,53.9333
"1229","Italy","Agrate Brianza",89,"Moderate",45.5833,9.35
"1230","Germany","Ahrensburg",44,"Good",53.6747,10.2411
"1231","Hungary","Ajka",60,"Moderate",47.1006,17.5522
"1232","Pakistan","Akora",182,"Unhealthy",33.9925,72.145
"1233","Pakistan","Akora",182,"Unhealthy",26.4721,78.7989
"1234","Turkey","Aksaray",46,"Good",38.3742,34.0289
"1235","Italy","Alba",65,"Moderate",44.7,8.0333
"1236","United Kingdom of Great Britain and Northern Ireland","Alfreton",40,"Good",53.097,-1.38
"1237","Italy","Alghero",48,"Good",40.56,8.315
"1238","United States of America","Alice",44,"Good",27.7556,-98.0653
"1239","Netherlands","Alkmaar",37,"Good",52.6333,4.75
"1240","Netherlands","Almelo",37,"Good",52.35,6.6667
"1241","Guatemala","Alotenango",88,"Moderate",14.4878,-90.8058
"1242","United States of America","Alpena",58,"Moderate",45.074,-83.4402
"1243","India","Angul",150,"Unhealthy",20.8381,85.0956
"1244","Ghana","Anloga",22,"Good",5.7919,0.9003
"1245","United States of America","Annandale",50,"Good",38.8324,-77.196
"1246","France","Annonay",59,"Moderate",45.24,4.6708
"1247","Germany","Ansbach",65,"Moderate",49.3,10.5833
"1248","Brazil","Aracaju",22,"Good",-10.9167,-37.05
"1249","Brazil","Areal",46,"Good",-22.2308,-43.1058
"1250","Ghana","Asamankese",37,"Good",5.8667,-0.6667
"1251","Germany","Aurich",37,"Good",53.4714,7.4836
"1252","Russian Federation","Avtury",59,"Moderate",43.1667,46
"1253","Germany","Bad Mergentheim",64,"Moderate",49.5,9.7667
"1254","Germany","Bad Orb",58,"Moderate",50.2167,9.35
"1255","Germany","Bad Segeberg",44,"Good",53.9167,10.3167
"1256","Brazil","Presidente Venceslau",14,"Good",-21.8761,-51.8439
"1257",NA,"Prince Rupert",31,"Good",54.3122,-130.3271
"1258","United States of America","Princeton",53,"Moderate",25.5396,-80.3971
"1259","United States of America","Princeton",53,"Moderate",40.3562,-74.6693
"1260","United States of America","Princeton",53,"Moderate",33.1778,-96.5044
"1261","Venezuela (Bolivarian Republic of)","Puerto Ayacucho",28,"Good",5.6631,-67.6264
"1262","Poland","Pyrzyce",35,"Good",53.1333,14.8833
"1263","Italy","Quattro Castella",36,"Good",44.6333,10.4667
"1264","Colombia","Quimbaya",106,"Unhealthy for Sensitive Groups",4.6333,-75.75
"1265","Ecuador","Quito",131,"Unhealthy for Sensitive Groups",-0.22,-78.5125
"1266","Italy","Racale",70,"Moderate",39.9667,18.1
"1267","United States of America","Racine",81,"Moderate",42.7274,-87.8135
"1268","United States of America","Raymond",48,"Good",43.0322,-71.1994
"1269","United States of America","Redland",54,"Moderate",39.1339,-77.1464
"1270","Spain","Requena",35,"Good",-5.0569,-73.8515
"1271","Spain","Requena",35,"Good",39.4861,-1.1017
"1272","Italy","Rieti",45,"Good",42.4044,12.8567
"1273","United States of America","Rio Rancho",37,"Good",35.2873,-106.6982
"1274","United States of America","Riverbank",53,"Moderate",37.726,-120.9433
"1275","United States of America","Riverdale",67,"Moderate",33.5639,-84.4103
"1276","United States of America","Riverdale",67,"Moderate",41.6441,-87.6366
"1277","United States of America","Riverdale",67,"Moderate",41.1732,-112.0023
"1278","Saudi Arabia","Riyadh",196,"Unhealthy",24.6333,46.7167
"1279","France","Roanne",39,"Good",46.0367,4.0689
"1280","France","Rombas",24,"Good",49.2494,6.0947
"1281","United States of America","Ronkonkoma",50,"Good",40.8037,-73.1246
"1282","Poland","Ropczyce",60,"Moderate",50.05,21.6167
"1283",NA,"Roseau",100,"Unhealthy for Sensitive Groups",15.3014,-61.3883
"1284","Italy","Rosolini",68,"Moderate",36.8167,14.95
"1285","United Kingdom of Great Britain and Northern Ireland","Royal Leamington Spa",36,"Good",52.292,-1.537
"1286","United States of America","Royal Oak",157,"Unhealthy",42.5084,-83.1539
"1287","Netherlands","Rozenburg",36,"Good",51.9058,4.2486
"1288","Indonesia","Sabang",40,"Good",5.8942,95.3192
"1289","Italy","Sacile",56,"Moderate",45.9667,12.5
"1290","Japan","Sakata",37,"Good",38.9145,139.8364
"1291","Ukraine","Saky",43,"Good",45.1336,33.5772
"1292","Mexico","Salinas",25,"Good",36.6883,-121.6317
"1293","Mexico","Salinas",25,"Good",-34.7833,-55.8333
"1294","Mexico","Salinas",25,"Good",-16.1185,-42.174
"1295","Mexico","Salinas",25,"Good",-2.2167,-80.9501
"1296","Thailand","Samut Sakhon",53,"Moderate",13.5486,100.2775
"1297","India","Sanaur",180,"Unhealthy",30.3018,76.4579
"1298","India","Saraikela",171,"Unhealthy",22.6996,85.9313
"1299","France","Saran",29,"Good",47.9514,1.8803
"1300","Russian Federation","Partizansk",33,"Good",43.1167,133.1167
"1301","Brazil","Patos",31,"Good",-7.0244,-37.28
"1302","Brazil","Patos",31,"Good",40.6833,19.6167
"1303","United States of America","Pawtucket",42,"Good",41.8744,-71.3743
"1304","Romania","Pecica",74,"Moderate",46.17,21.07
"1305","Colombia","Pelaya",53,"Moderate",8.6833,-73.6667
"1306","Russian Federation","Petrovsk",32,"Good",52.3167,45.3833
"1307","Thailand","Phibun Mangsahan",57,"Moderate",15.2482,105.2296
"1308","Philippines","Pinamungahan",58,"Moderate",10.2667,123.5833
"1309","Belarus","Pinsk",36,"Good",52.1153,26.1031
"1310","Spain","Pinto",50,"Good",40.25,-3.7
"1311","Spain","Pinto",50,"Good",-36.7,-71.9
"1312","India","Piro",185,"Unhealthy",25.33,84.42
"1313","Peru","Pisco",28,"Good",-13.7167,-76.2
"1314","United States of America","Plainview",63,"Moderate",14.5777,121.0337
"1315","United States of America","Plainview",63,"Moderate",40.7832,-73.4732
"1316","United States of America","Plainview",63,"Moderate",34.1911,-101.7235
"1317","United States of America","Pleasant Hill",65,"Moderate",37.9539,-122.0759
"1318","United States of America","Pleasant Hill",65,"Moderate",41.5867,-93.4953
"1319","United States of America","Pleasant Hill",65,"Moderate",38.8059,-94.2652
"1320","Ukraine","Pohrebyshche",82,"Moderate",49.4869,29.2733
"1321","Brazil","Pomerode",30,"Good",-26.7408,-49.1769
"1322","Brazil","Ponta Grossa",12,"Good",-25.0994,-50.1583
"1323","Brazil","Pontal",131,"Unhealthy for Sensitive Groups",-21.0225,-48.0372
"1324","United Kingdom of Great Britain and Northern Ireland","Poole",47,"Good",50.7167,-1.9833
"1325","Papua New Guinea","Popondetta",21,"Good",-8.7656,148.2347
"1326","Russian Federation","Porkhov",30,"Good",57.7833,29.5667
"1327","India","Port Blair",32,"Good",11.6683,92.7378
"1328","Russian Federation","Abakan",57,"Moderate",53.7167,91.4667
"1329","Canada","Abbotsford",27,"Good",49.05,-122.3167
"1330","Italy","Acireale",55,"Moderate",37.6167,15.1667
"1331","United States of America","Ada",50,"Good",45.8,20.1333
"1332","United States of America","Ada",50,"Good",34.7662,-96.6681
"1333","Brazil","Adamantina",39,"Good",-21.6847,-51.0733
"1334","Switzerland","Adliswil",32,"Good",47.3167,8.5333
"1335","Romania","Aiud",58,"Moderate",46.3122,23.7292
"1336","Philippines","Alabel",19,"Good",6.1023,125.2868
"1337","Italy","Alcamo",64,"Moderate",37.9778,12.9639
"1338","Syrian Arab Republic","Aleppo",73,"Moderate",36.2,37.16
"1339","Spain","Almansa",32,"Good",38.8682,-1.0979
"1340","Brazil","Altamira",39,"Good",-3.2028,-52.2058
"1341","Brazil","Altamira",39,"Good",22.3375,-97.8694
"1342","Brazil","Altamira",39,"Good",19.6667,-70.8333
"1343","Italy","Altamura",42,"Good",40.8167,16.55
"1344","Germany","Altensteig",32,"Good",48.5864,8.6047
"1345","United Kingdom of Great Britain and Northern Ireland","Altrincham",59,"Moderate",53.3838,-2.3547
"1346","India","Amarpur",181,"Unhealthy",25.0397,86.9025
"1347","Madagascar","Andapa",23,"Good",-14.65,49.65
"1348","Spain","Andoain",35,"Good",43.2167,-2.0167
"1349","United States of America","Angleton",43,"Good",29.1721,-95.4293
"1350","Uzbekistan","Angren",120,"Unhealthy for Sensitive Groups",41.0167,70.1436
"1351","India","Annigeri",82,"Moderate",15.4251,75.4335
"1352","Turkey","Antalya",41,"Good",36.8874,30.7075
"1353","Netherlands","Appingedam",30,"Good",53.3167,6.8667
"1354",NA,"Ardrossan",69,"Moderate",55.6432,-4.8097
"1355","Brazil","Portel",62,"Moderate",-1.9358,-50.8208
"1356","United States of America","Portland",48,"Good",45.5371,-122.65
"1357","United States of America","Portland",48,"Good",43.6773,-70.2715
"1358","United States of America","Portland",48,"Good",27.8942,-97.3278
"1359","United States of America","Portland",48,"Good",36.5921,-86.5239
"1360","United States of America","Portland",48,"Good",-38.3333,141.6
"1361","United States of America","Portland",48,"Good",41.5988,-72.589
"1362","Brazil","Posse",16,"Good",-14.0928,-46.3689
"1363","United States of America","Potomac",54,"Moderate",39.0141,-77.1943
"1364","United States of America","Scotch Plains",58,"Moderate",40.6332,-74.3739
"1365","United Kingdom of Great Britain and Northern Ireland","Scunthorpe",43,"Good",53.5809,-0.6502
"1366","France","Sedan",33,"Good",49.7019,4.9403
"1367","United States of America","Selma",61,"Moderate",36.5715,-119.6143
"1368","United States of America","Selma",61,"Moderate",32.4166,-87.0336
"1369","United States of America","Selma",61,"Moderate",29.5866,-98.3132
"1370","Brazil","Serra Talhada",26,"Good",-7.9858,-38.2958
"1371","Japan","Shisui",62,"Moderate",35.7249,140.2695
"1372","Turkey","Siirt",79,"Moderate",37.925,41.9458
"1373","United States of America","Sikeston",92,"Moderate",36.8854,-89.5877
"1374","Russian Federation","Sim",31,"Good",54.9833,57.7
"1375","Switzerland","Sion",32,"Good",46.2333,7.3667
"1376","Slovakia","Skalica",63,"Moderate",48.8422,17.2267
"1377","Poland","Skawina",58,"Moderate",49.9833,19.8333
"1378","Denmark","Skive",38,"Good",56.5667,9.0333
"1379","United States of America","Somerset",44,"Good",40.5083,-74.501
"1380","United States of America","Somerset",44,"Good",41.7404,-71.1612
"1381","United States of America","Somerset",44,"Good",37.0834,-84.6109
"1382","Germany","Sonneberg",29,"Good",50.35,11.1667
"1383","United States of America","South Ogden",38,"Good",41.1722,-111.9576
"1384","United Kingdom of Great Britain and Northern Ireland","Spalding",41,"Good",52.7858,-0.1529
"1385","Italy","Spinea",54,"Moderate",45.4931,12.1606
"1386","United States of America","Spring Valley",59,"Moderate",36.0952,-115.2636
"1387","United States of America","Spring Valley",59,"Moderate",41.1151,-74.0486
"1388","United States of America","Spring Valley",59,"Moderate",32.7317,-116.9766
"1389","United States of America","Stanford",64,"Moderate",37.4252,-122.1674
"1390",NA,"Stockholm",31,"Good",59.3294,18.0686
"1391","Germany","Strausberg",32,"Good",52.5833,13.8833
"1392","Serbia","Subotica",71,"Moderate",46.1003,19.6656
"1393","China","Suileng",57,"Moderate",47.246,127.106
"1394","Indonesia","Sumber",54,"Moderate",-6.7544,108.4858
"1395","United States of America","Sayville",45,"Good",40.7478,-73.084
"1396","United States of America","Schaumburg",77,"Moderate",42.0308,-88.0838
"1397","Germany","Schiffweiler",29,"Good",49.3667,7.1167
"1398","United States of America","Scituate",45,"Good",42.1992,-70.759
"1399","United States of America","Scituate",45,"Good",41.7926,-71.6203
"1400","China","Shancheng",159,"Unhealthy",34.7904,116.08
"1401","Italy","Villasanta",67,"Moderate",45.6053,9.3033
"1402","Spain","Villaviciosa",31,"Good",43.4833,-5.4333
"1403","Russian Federation","Vnukovo",52,"Moderate",55.5997,37.28
"1404","Russian Federation","Volzhsk",62,"Moderate",55.8703,48.3561
"1405","United States of America","Wade Hampton",75,"Moderate",34.8821,-82.3336
"1406","United States of America","Waianae",24,"Good",21.4568,-158.1758
"1407","Indonesia","Waingapu",55,"Moderate",-9.65,120.2667
"1408","United States of America","Walpole",47,"Good",42.1464,-71.2555
"1409","Poland","Warka",33,"Good",51.7833,21.2
"1410","France","Wasquehal",46,"Good",50.6694,3.1308
"1411","United Kingdom of Great Britain and Northern Ireland","Watford",30,"Good",51.655,-0.3957
"1412","Belgium","Aartselaar",41,"Good",51.1333,4.3833
"1413","United Kingdom of Great Britain and Northern Ireland","Aberystwyth",44,"Good",52.414,-4.081
"1414","Italy","Acqui Terme",70,"Moderate",44.6761,8.4686
"1415","Uganda","Adjumani",66,"Moderate",3.3772,31.7906
"1416","Tajikistan","Adrasmon",132,"Unhealthy for Sensitive Groups",40.6486,69.9856
"1417","India","Afzalpur",84,"Moderate",17.2,76.35
"1418","India","Ajjampur",39,"Good",13.7279,76.0068
"1419","Japan","Akita",29,"Good",39.72,140.1026
"1420","Germany","Albstadt",72,"Moderate",48.2119,9.0239
"1421","Brazil","Alegre",40,"Good",-20.7639,-41.5328
"1422","Serbia","Aleksinac",68,"Moderate",43.5383,21.7047
"1423","Brazil","Alhandra",25,"Good",-7.3504,-34.9284
"1424","Mexico","Allende",88,"Moderate",28.3333,-100.8333
"1425","United States of America","Alpharetta",71,"Moderate",34.0704,-84.2738
"1426","Ukraine","Alushta",44,"Good",44.6672,34.3978
"1427","Japan","Anan",43,"Good",33.9167,134.6667
"1428","Germany","Andernach",51,"Moderate",50.4397,7.4017
"1429","Colombia","Ansermanuevo",98,"Moderate",4.8,-76
"1430","Uganda","Apac",69,"Moderate",1.985,32.535
"1431","Italy","Apricena",41,"Good",41.7667,15.4333
"1432","Brazil","Araripe",24,"Good",-7.2128,-40.0458
"1433","Venezuela (Bolivarian Republic of)","Araure",84,"Moderate",9.5667,-69.2167
"1434","Brazil","Areia Branca",21,"Good",-4.9558,-37.1369
"1435","Brazil","Areia Branca",21,"Good",-10.7578,-37.315
"1436","France","Argenteuil",62,"Moderate",48.95,2.25
"1437","United States of America","Arkadelphia",73,"Moderate",34.1253,-93.0729
"1438","Germany","Arnsberg",51,"Moderate",51.3833,8.0833
"1439","Uganda","Arua",63,"Moderate",3.0353,30.9108
"1440","Italy","Asola",106,"Unhealthy for Sensitive Groups",45.2167,10.4167
"1441","Philippines","Astorga",39,"Good",-23.2328,-51.6658
"1442","Philippines","Astorga",39,"Good",42.4589,-6.0633
"1443","France","Audincourt",61,"Moderate",47.4828,6.8397
"1444","Ghana","Axim",33,"Good",4.8667,-2.2333
"1445","United States of America","Babylon",57,"Moderate",40.6925,-73.3586
"1446","Germany","Bad Sassendorf",51,"Moderate",51.5831,8.1667
"1447","Spain","Baena",33,"Good",37.6167,-4.3167
"1448","Australia","Ballina",34,"Good",-28.8333,153.5333
"1449","Russian Federation","Baltiysk",33,"Good",54.65,19.9167
"1450","India","Bankra",178,"Unhealthy",22.63,88.3
"1451","India","Baran",173,"Unhealthy",54.4833,30.3333
"1452","Brazil","Barbacena",59,"Moderate",-21.2167,-43.7667
"1453","United Kingdom of Great Britain and Northern Ireland","Barnstaple",34,"Good",51.08,-4.06
"1454","Turkey","Batman",63,"Moderate",37.887,41.132
"1455","Brazil","Bauru",45,"Good",-22.315,-49.0608
"1456","Philippines","Bocaue",65,"Moderate",14.8,120.9333
"1457","Mexico","Bochil",56,"Moderate",17.0167,-92.95
"1458","Russian Federation","Bogdanovich",54,"Moderate",56.7803,62.0494
"1459","Russian Federation","Boguchany",38,"Good",58.3667,97.45
"1460","Ukraine","Borodyanka",81,"Moderate",50.6474,29.9258
"1461","Brazil","Botelhos",47,"Good",-21.6424,-46.3937
"1462","Romania","Brad",64,"Moderate",46.1294,22.79
"1463","South Africa","Brakpan",236,"Very Unhealthy",-26.2353,28.37
"1464","United States of America","Brattleboro",31,"Good",42.8619,-72.6145
"1465","Romania","Breaza",52,"Moderate",45.1872,25.6622
"1466","Poland","Brzeszcze",96,"Moderate",50,19.15
"1467","Poland","Brzeziny",66,"Moderate",51.8,19.75
"1468","Mongolia","Bulgan",37,"Good",48.8119,103.5336
"1469","Papua New Guinea","Bulolo",13,"Good",-7.2,146.6467
"1470","Australia","Bundaberg",32,"Good",-24.8661,152.3494
"1471","Bulgaria","Burgas",40,"Good",42.503,27.4702
"1472","Germany","Burglengenfeld",43,"Good",49.2,12.0333
"1473","Dominican Republic","Cabral",76,"Moderate",18.25,-71.2167
"1474","Brazil","Cajati",33,"Good",-24.7361,-48.1228
"1475","Angola","Caluquembe",42,"Good",-13.9208,14.5347
"1476","Brazil","Canela",51,"Moderate",-29.3658,-50.8158
"1477","Italy","Canelli",78,"Moderate",44.7208,8.2928
"1478","Italy","Carmagnola",82,"Moderate",44.85,7.7167
"1479","Philippines","Carmen",80,"Moderate",18.4167,-91.6333
"1480","Philippines","Carmen",80,"Moderate",7.2,124.7833
"1481","Philippines","Carmen",80,"Moderate",7.3606,125.7064
